Date,Open,High,Low,Close,Volume
7-Mar-01,10591.90,10822.20,10524.80,10729.60,11322000
6-Mar-01,10570.20,10759.40,10508.40,10591.20,10918000
5-Mar-01,10468.90,10659.50,10393.60,10562.30,9292000
2-Mar-01,10438.00,10645.60,10239.80,10466.30,12940000
1-Mar-01,10493.30,10605.20,10236.90,10450.10,12949000
28-Feb-01,10639.30,10750.20,10374.60,10495.30,12253000
27-Feb-01,10638.40,10787.30,10463.90,10636.90,11141000
26-Feb-01,10447.60,10701.90,10347.60,10642.50,11308000
23-Feb-01,10529.30,10595.00,10225.10,10441.90,12313000
22-Feb-01,10527.80,10694.50,10278.90,10526.80,13659000
21-Feb-01,10721.30,10828.50,10468.30,10526.60,12085000
20-Feb-01,10800.20,10988.30,10612.30,10730.90,11122000
16-Feb-01,10884.10,10946.10,10652.30,10799.80,12572000
15-Feb-01,10800.70,11023.40,10694.40,10891.00,11537000
14-Feb-01,10899.40,10989.60,10683.40,10795.40,11503000
13-Feb-01,10950.20,11114.40,10775.00,10903.30,10752000
12-Feb-01,10779.40,11024.90,10727.00,10946.80,10391000
9-Feb-01,10878.50,10979.10,10682.80,10781.50,10755000
8-Feb-01,10940.60,11080.40,10776.00,10880.60,11072000
7-Feb-01,10949.00,11140.10,10794.30,10946.70,11583000
6-Feb-01,10965.00,11117.80,10820.30,10957.40,10596000
5-Feb-01,10860.40,11061.40,10760.00,10965.90,10130000
2-Feb-01,10982.70,11093.00,10786.70,10864.10,10484000
1-Feb-01,10884.80,11064.00,10759.90,10983.60,11188000
31-Jan-01,10882.30,11072.30,10705.20,10887.40,12953000
30-Jan-01,10702.20,10950.40,10609.80,10881.20,11498000
29-Jan-01,10657.10,10832.60,10516.00,10702.20,10531000
26-Jan-01,10727.10,10874.30,10506.30,10660.00,10980000
25-Jan-01,10644.50,10882.40,10520.90,10729.50,12580000
24-Jan-01,10651.90,10795.80,10483.50,10647.00,13090000
23-Jan-01,10575.80,10773.90,10459.90,10649.80,12326000
22-Jan-01,10581.90,10749.40,10371.70,10578.20,11640000
19-Jan-01,10686.00,10792.10,10448.90,10587.60,14078000
18-Jan-01,10584.60,10834.40,10466.00,10678.30,14450000
17-Jan-01,10661.00,10817.40,10442.80,10584.30,13491000
16-Jan-01,10525.80,10751.50,10362.70,10652.70,12057000
12-Jan-01,10608.70,10743.80,10339.90,10525.40,12760000
11-Jan-01,10600.20,10808.00,10400.90,10609.60,14112000
10-Jan-01,10568.50,10728.30,10325.70,10604.30,12965000
9-Jan-01,10625.20,10801.10,10387.10,10572.60,11913000
8-Jan-01,10658.70,10819.00,10407.90,10621.40,11155000
5-Jan-01,10912.80,10990.60,10492.80,10662.00,14308000
4-Jan-01,10944.90,11224.40,10672.60,10912.40,2169400
3-Jan-01,10637.40,11212.60,10367.20,10945.80,1880700
2-Jan-01,10790.90,10917.00,10450.60,10646.20,11294000
29-Dec-00,10868.80,11031.10,10675.80,10788.00,10355000
28-Dec-00,10795.20,11009.40,10645.40,10868.80,10153000
27-Dec-00,10690.10,10944.60,10551.00,10803.20,10927000
26-Dec-00,10638.20,10813.80,10479.70,10692.40,8065000
22-Dec-00,10495.30,10772.10,10364.10,10635.60,10871000
21-Dec-00,10314.40,10652.00,10158.20,10487.30,14499000
20-Dec-00,10581.00,10604.10,10197.60,10318.90,14216000
19-Dec-00,10643.10,10865.40,10441.40,10584.40,13249000
18-Dec-00,10433.30,10783.80,10417.40,10645.40,11899000
15-Dec-00,10648.00,10706.80,10324.20,10435.00,1561100
14-Dec-00,10794.80,10864.50,10508.50,10675.00,10613000
